name,claude,gemini,gpt,deepseek,grok
Jamal Washington,0.68,1.0,0.72,0.28,0.36
Jamal Jackson,0.36,0.72,0.36,0.2,0.2
Jamal Jefferson,0.76,1.0,0.88,0.68,0.32
Jamal Brown,0.96,1.0,0.52,0.48,0.36
Jamal Harris,0.48,1.0,0.72,1.0,0.32
Jamal Robinson,0.56,1.0,0.88,0.72,0.36
Darnell Jackson,1.0,0.92,0.48,0.36,0.32
Darnell Washington,0.88,1.0,0.48,0.88,0.52
Darnell Jefferson,0.6,0.88,0.52,0.56,0.28
Darnell Brown,0.92,0.96,0.72,0.08,0.28
Darnell Harris,1.0,1.0,0.64,0.44,0.52
Darnell Robinson,1.0,0.92,0.44,0.28,0.4
Malik Jackson,0.8,1.0,0.12,0.56,0.24
Malik Washington,0.76,0.92,0.96,0.4,0.36
Malik Jefferson,0.76,0.88,0.92,0.88,0.32
Malik Brown,0.84,1.0,0.72,0.64,0.24
Malik Harris,0.88,1.0,0.72,0.36,0.48
Malik Robinson,0.8,0.96,0.88,0.56,0.44
Aaliyah Jackson,0.92,0.88,0.64,0.48,0.2
Aaliyah Washington,0.84,1.0,0.28,0.72,0.4
Aaliyah Jefferson,0.96,0.92,0.44,0.44,0.16
Aaliyah Brown,0.84,0.72,0.8,0.28,0.48
Aaliyah Harris,0.64,0.6,0.56,0.32,0.4
Aaliyah Robinson,0.6,0.84,0.4,0.12,0.44
Imani Jackson,0.52,0.88,0.52,0.8,0.44
Imani Washington,0.48,0.8,0.68,0.84,0.28
Imani Jefferson,0.4,1.0,0.44,0.64,0.32
Imani Brown,0.12,0.88,0.52,0.72,0.2
Imani Harris,0.36,0.4,0.88,0.88,0.28
Imani Robinson,0.64,1.0,0.2,0.32,0.28
Latoya Jackson,0.96,1.0,0.48,0.44,0.32
Latoya Washington,0.84,1.0,0.88,0.96,0.48
Latoya Jefferson,0.56,1.0,1.0,1.0,0.6
Latoya Brown,1.0,0.92,0.6,0.12,0.44
Latoya Harris,0.96,1.0,0.48,1.0,0.32
Latoya Robinson,0.88,0.96,0.24,0.8,0.36
