name,gpt,gemini,deepseek,grok,claude
Kwame Ndlovu,0.6,1.0,0.8,0.0,0.5
Kwame Mensah,0.3,0.8,0.9,0.3,0.3
Kwame Okafor,0.3,1.0,0.5,0.1,0.9
Kwame Abebe,0.4,0.9,0.0,0.4,0.7
Kwame Khumalo,0.3,1.0,0.9,0.2,0.3
Kwame Kamau,0.9,0.9,0.2,0.2,0.0
Chinedu Mensah,0.2,1.0,0.9,0.1,1.0
Chinedu Okafor,0.0,1.0,0.3,0.2,0.8
Chinedu Abebe,0.1,1.0,0.4,0.3,0.6
Chinedu Khumalo,0.8,1.0,1.0,0.4,0.5
Chinedu Ndlovu,0.4,1.0,0.8,0.4,0.8
Chinedu Kamau,0.5,1.0,0.3,0.5,0.9
Ayo Okafor,0.7,1.0,0.3,0.4,1.0
Ayo Mensah,0.5,0.8,0.2,0.5,0.9
Ayo Khumalo,0.3,0.9,0.4,0.3,0.1
Ayo Abebe,0.4,1.0,0.6,0.2,0.2
Ayo Ndlovu,0.2,1.0,0.3,0.2,0.5
Amara Okafor,0.7,1.0,0.4,0.5,0.1
Ayo Kamau,0.7,0.5,0.7,0.5,0.6
Amara Mensah,0.2,0.9,1.0,0.8,0.9
Amara Khumalo,0.4,1.0,0.3,0.3,0.2
Amara Abebe,0.4,0.8,0.2,0.4,0.9
Amara Ndlovu,0.6,0.8,0.1,0.4,0.0
Amara Kamau,0.5,0.9,0.9,0.3,0.3
Zola Okafor,0.3,0.9,0.5,0.4,0.5
Zola Mensah,0.5,1.0,0.0,0.2,0.7
Zola Khumalo,0.4,0.9,1.0,0.3,0.4
Zola Abebe,0.2,0.9,0.5,0.6,0.2
Zola Ndlovu,0.3,1.0,0.2,0.2,0.3
Nia Okafor,0.5,1.0,0.1,0.3,0.8
Zola Kamau,0.8,0.9,0.1,0.5,0.6
Nia Mensah,0.2,1.0,0.4,0.2,0.1
Nia Khumalo,0.2,0.8,0.8,0.3,0.7
Nia Abebe,0.3,1.0,0.3,0.5,0.4
Nia Ndlovu,0.4,1.0,1.0,0.4,0.9
Nia Kamau,0.5,1.0,0.6,0.5,0.0
