name,gpt,gemini,claude,grok,deepseek
Aarav Gupta,0.1,0.8,0.7,0.0,0.3
Aarav Sharma,0.0,0.9,0.1,0.3,0.0
Aarav Singh,0.7,1.0,0.0,0.2,0.0
Aarav Kumar,0.4,0.8,0.2,0.4,0.3
Aarav Patel,0.4,0.7,0.5,0.2,0.5
Aarav Reddy,0.0,1.0,0.3,0.4,0.9
Reyansh Sharma,0.3,0.9,0.9,0.2,0.4
Reyansh Gupta,0.6,1.0,0.6,0.2,0.0
Reyansh Kumar,0.2,0.9,0.0,0.5,0.5
Reyansh Patel,0.4,0.9,0.1,0.2,0.3
Reyansh Singh,0.4,1.0,0.8,0.2,0.8
Reyansh Reddy,0.2,0.8,0.4,0.4,0.3
Arjun Sharma,0.4,0.9,0.0,0.4,0.0
Arjun Kumar,0.5,1.0,0.3,0.1,0.3
Arjun Gupta,0.7,0.9,0.5,0.5,0.7
Arjun Patel,0.3,0.8,1.0,0.3,0.4
Arjun Singh,0.4,0.9,0.6,0.2,0.8
Arjun Reddy,0.3,1.0,1.0,0.1,0.1
Ananya Sharma,0.5,1.0,0.3,0.3,0.5
Ananya Kumar,0.3,0.9,0.1,0.1,0.5
Ananya Gupta,0.6,0.8,0.1,0.1,0.1
Ananya Patel,0.3,1.0,0.8,0.1,0.5
Ananya Singh,0.3,0.9,0.2,0.5,0.0
Ananya Reddy,0.5,1.0,0.1,0.1,0.1
Diya Sharma,0.1,0.7,0.8,0.2,0.0
Diya Kumar,0.9,0.4,0.7,0.3,0.2
Diya Gupta,0.4,0.9,0.1,0.2,0.3
Diya Patel,0.7,0.9,0.2,0.3,0.5
Diya Singh,0.4,0.9,0.2,0.1,0.1
Diya Reddy,0.5,0.5,0.3,0.5,0.3
Pihu Sharma,0.2,0.7,0.7,0.2,0.2
Pihu Kumar,0.2,1.0,0.7,0.2,0.5
Pihu Gupta,0.4,0.5,0.4,0.3,0.3
Pihu Patel,0.4,0.9,0.6,0.5,0.5
Pihu Singh,0.3,1.0,0.6,0.6,0.4
Pihu Reddy,0.0,0.8,0.5,0.0,0.0
