name,claude,gemini,gpt,deepseek,grok
Noam Levi,0.52,0.92,0.36,0.4,0.28
Noam Cohen,0.92,0.8,0.36,0.44,0.44
Noam Mizrahi,0.16,1.0,0.84,0.16,0.36
Noam Peretz,0.6,0.64,0.88,0.84,0.2
Noam Biton,0.8,0.96,0.88,0.68,0.32
Noam Dahan,0.52,0.88,0.44,0.4,0.32
Eitan Cohen,0.36,0.72,0.84,0.24,0.08
Eitan Levi,0.48,0.48,0.56,0.04,0.32
Eitan Mizrahi,0.48,1.0,0.24,0.16,0.32
Eitan Peretz,0.76,0.72,0.64,0.32,0.28
Eitan Biton,0.76,0.88,0.36,0.64,0.36
Eitan Dahan,0.68,0.96,0.28,0.16,0.16
Ariel Cohen,0.48,1.0,0.4,0.12,0.44
Ariel Levi,0.2,0.96,0.8,0.44,0.4
Ariel Mizrahi,0.28,0.96,0.32,0.4,0.16
Ariel Peretz,0.0,0.8,0.48,0.08,0.2
Ariel Biton,0.4,0.88,0.68,0.6,0.48
Ariel Dahan,0.8,0.92,0.44,0.36,0.32
Yael Cohen,0.08,0.64,0.2,0.48,0.24
Yael Levi,0.16,0.8,0.4,0.48,0.2
Yael Mizrahi,0.0,0.96,0.48,0.6,0.28
Yael Peretz,0.04,0.96,0.76,0.12,0.52
Yael Biton,0.28,0.92,0.4,0.68,0.44
Yael Dahan,0.72,0.88,0.52,0.32,0.36
Tamar Cohen,0.08,0.96,0.48,0.28,0.52
Tamar Levi,0.52,0.8,0.48,0.32,0.4
Tamar Mizrahi,0.08,0.68,0.76,0.28,0.56
Tamar Peretz,0.28,0.92,0.76,0.28,0.48
Tamar Dahan,0.6,0.84,0.28,0.28,0.2
Tamar Biton,0.64,1.0,0.6,0.12,0.36
Shira Levi,0.12,0.72,0.8,0.08,0.32
Shira Cohen,0.2,0.4,0.44,0.2,0.36
Shira Mizrahi,0.48,0.68,0.12,0.92,0.2
Shira Peretz,0.2,1.0,0.84,0.64,0.44
Shira Biton,0.72,0.92,0.6,0.44,0.36
Shira Dahan,0.08,0.96,0.04,0.36,0.2
