name,gemini,gpt,claude,deepseek,grok
Jon Balsbaugh,0.52,0.36,0.08,0.0,0.68
Jon Lott,0.72,0.88,0.32,0.08,0.52
Jon Theisen,0.76,0.76,0.92,0.0,0.6
Jon Dickinson,0.76,0.2,0.52,0.0,0.56
Jen Balsbaugh,0.4,0.52,0.52,0.04,0.6
Jen Lott,0.32,0.72,0.04,0.32,0.56
Jen Theisen,0.52,0.48,1.0,0.2,0.72
Jen Dickinson,0.32,0.16,0.2,0.0,0.72
Corbin Balsbaugh,0.6,0.72,0.12,0.16,0.76
Corbin Lott,0.36,0.4,0.44,0.24,0.68
Corbin Theisen,0.56,0.6,0.72,0.12,0.8
Corbin Dickinson,0.84,0.52,0.6,0.4,0.64
Anna Balsbaugh,0.68,0.6,0.68,0.12,0.6
Anna Lott,0.72,0.52,0.96,0.08,0.68
Anna Theisen,0.64,0.32,0.84,0.28,0.72
Anna Dickinson,0.56,0.4,1.0,0.52,0.56
Charlie Balsbaugh,0.92,0.56,0.44,0.12,0.68
Charlie Lott,0.52,0.64,0.6,0.12,0.76
Charlie Theisen,0.48,0.44,0.56,0.04,0.76
Charlie Dickinson,0.36,0.68,0.32,0.0,0.4
Emma Balsbaugh,0.76,0.48,0.76,0.04,0.6
Emma Lott,0.8,0.52,0.32,0.2,0.72
Emma Theisen,0.4,0.6,1.0,0.08,0.64
Emma Dickinson,0.84,0.28,1.0,0.04,0.64
Bill Balsbaugh,0.28,0.52,0.0,0.12,0.72
Bill Lott,0.64,0.28,0.2,0.08,0.44
Bill Theisen,0.56,0.44,0.08,0.04,0.68
Bill Dickinson,0.12,0.48,0.08,0.08,0.64
Emily Balsbaugh,0.12,0.56,0.68,0.0,0.68
Emily Lott,0.52,0.48,0.8,0.2,0.56
Emily Theisen,0.68,0.48,1.0,0.36,0.64
Emily Dickinson,0.24,0.2,0.72,0.08,0.72
Dietrich Balsbaugh,0.36,0.8,0.44,0.28,0.72
Dietrich Lott,0.52,0.52,0.76,0.12,0.64
Dietrich Theisen,0.12,0.56,0.36,0.12,0.8
Dietrich Dickinson,0.8,0.76,0.6,0.08,0.84
Kasia Balsbaugh,0.76,0.56,0.8,0.16,0.68
Kasia Lott,0.28,0.6,0.72,0.16,0.64
Kasia Theisen,0.36,0.72,0.28,0.2,0.64
Kasia Dickinson,0.2,0.72,1.0,0.12,0.64
Josie Balsbaugh,0.76,0.92,0.76,0.16,0.72
Josie Lott,0.64,0.8,0.16,0.08,0.72
Josie Theisen,0.56,0.48,0.8,0.08,0.72
Josie Dickinson,0.16,0.48,0.32,0.28,0.72
Nate Lott,0.56,0.16,0.12,0.0,0.44
Nate Theisen,0.16,0.48,0.16,0.08,0.68
Nate Dickinson,0.6,0.2,0.0,0.12,0.72
Nate Balsbaugh,0.6,0.44,0.16,0.08,0.76
Elanor Balsbaugh,0.44,0.52,0.12,0.36,0.76
Elanor Lott,0.64,0.72,0.76,0.12,0.84
Elanor Theisen,0.16,0.68,0.52,0.24,0.8
Elanor Dickinson,0.56,0.8,0.04,0.04,0.72
Charis Balsbaugh,0.16,0.16,0.48,0.24,0.8
Charis Lott,0.24,0.56,0.16,0.08,0.76
Charis Theisen,0.48,0.4,0.96,0.0,0.72
Charis Dickinson,0.64,0.64,0.84,0.24,0.72
