name,gemini,gpt,claude,deepseek,grok
Noam Cohen,0.7,0.5,0.9,0.1,0.7
Noam Levi,0.3,0.4,0.7,0.0,0.7
Noam Peretz,0.3,0.6,1.0,0.0,0.8
Noam Mizrahi,0.8,0.4,1.0,0.2,0.7
Noam Biton,0.4,0.8,0.6,0.0,0.7
Noam Dahan,0.5,0.4,0.8,0.1,0.6
Eitan Cohen,0.6,0.3,0.6,0.0,0.9
Eitan Levi,0.7,0.4,0.9,0.0,0.8
Eitan Mizrahi,0.3,0.5,0.4,0.1,0.6
Eitan Peretz,1.0,0.7,0.4,0.2,0.7
Eitan Biton,0.9,0.7,1.0,0.3,0.7
Eitan Dahan,0.7,0.9,0.6,0.1,1.0
Ariel Cohen,0.6,0.9,1.0,0.1,0.7
Ariel Levi,0.7,0.6,1.0,0.0,0.6
Ariel Peretz,0.1,0.8,1.0,0.1,0.7
Ariel Biton,0.1,0.5,1.0,0.2,0.9
Ariel Mizrahi,0.3,0.2,1.0,0.3,0.8
Ariel Dahan,0.6,0.8,0.9,0.0,0.9
Yael Cohen,0.4,1.0,0.9,0.2,0.8
Yael Levi,0.3,0.5,1.0,0.1,0.9
Yael Mizrahi,0.3,0.6,0.9,0.4,0.8
Yael Peretz,0.7,0.6,0.9,0.5,0.9
Yael Biton,0.7,0.8,1.0,0.2,0.4
Tamar Mizrahi,0.8,0.5,0.9,0.6,0.6
Tamar Peretz,0.3,0.6,0.9,0.0,0.7
Tamar Biton,0.5,0.9,1.0,0.2,0.8
Tamar Dahan,0.5,1.0,0.9,0.1,0.7
Shira Cohen,0.3,0.8,1.0,0.2,1.0
Shira Levi,0.3,0.3,0.9,0.0,0.9
Shira Mizrahi,0.0,0.4,1.0,0.1,0.8
Tamar Levi,0.8,0.7,0.9,0.2,0.8
Tamar Cohen,0.4,0.9,0.9,0.1,0.9
Yael Dahan,0.4,0.3,1.0,0.0,0.7
Shira Peretz,0.4,0.7,1.0,0.1,0.8
Shira Biton,0.4,0.5,1.0,0.0,0.7
Shira Dahan,0.5,0.7,1.0,0.1,0.9
