name,claude,gpt,gemini,deepseek,grok
James Brown,0.2,0.7,0.3,0.7,0.3
James Jones,0.0,0.4,0.4,0.5,0.5
James Johnson,0.0,0.5,0.8,0.2,0.2
James Newburry,1.0,0.4,0.8,0.0,0.5
James Smith,0.0,0.8,0.1,0.5,0.1
Phillip Smith,0.3,0.5,0.8,0.3,0.3
James Miller,0.6,0.1,0.8,0.9,0.3
Phillip Johnson,0.7,0.2,0.8,0.6,0.4
Phillip Newburry,1.0,0.4,0.9,0.0,0.3
Phillip Brown,0.5,0.5,0.7,0.0,0.6
Phillip Jones,0.6,0.7,0.7,0.3,0.2
Phillip Miller,0.9,0.2,0.2,0.8,0.4
William Smith,0.1,0.4,0.5,0.1,0.3
William Johnson,0.2,0.8,0.8,0.0,0.5
William Newburry,0.7,0.0,1.0,0.2,0.6
William Brown,0.1,0.3,0.8,0.3,0.3
William Jones,0.2,0.9,0.7,0.4,0.5
Emily Smith,0.2,0.6,0.1,0.8,0.4
William Miller,1.0,0.6,0.9,0.4,0.1
Emily Johnson,0.7,0.6,0.3,0.9,0.4
Emily Newburry,0.7,1.0,1.0,0.3,0.4
Emily Brown,0.3,0.7,0.9,0.9,0.5
Emily Jones,0.3,0.1,0.5,0.1,0.2
Phillipa Smith,0.9,0.4,0.6,0.2,0.4
Emily Miller,0.7,0.4,0.7,0.3,0.7
Phillipa Johnson,1.0,0.8,0.7,0.1,0.5
Phillipa Newburry,1.0,0.3,1.0,0.3,0.4
Phillipa Brown,0.8,0.8,0.6,0.3,0.6
Phillipa Jones,1.0,0.3,0.7,0.5,0.5
Phillipa Miller,1.0,0.9,0.9,0.7,0.2
Hannah Smith,0.6,0.0,0.6,0.8,0.2
Hannah Johnson,0.8,0.8,1.0,0.6,0.7
Hannah Newburry,1.0,0.5,0.8,0.3,0.5
Hannah Brown,1.0,0.2,1.0,0.2,0.3
Hannah Jones,1.0,0.9,0.6,0.6,0.3
Hannah Miller,1.0,0.6,0.7,0.7,0.4
