name,gemini,gpt,claude,deepseek,grok
Wang Wei,0.3,0.4,0.0,0.4,0.2
Wang Jian,0.7,0.6,0.2,0.6,0.4
Wang Mei,0.7,0.5,0.5,0.4,0.6
Wang Li,0.7,0.3,0.1,0.4,0.5
Wang Hao,0.5,0.1,0.0,0.7,0.3
Wang Xia,0.7,0.8,0.3,0.4,0.3
Li Wei,0.8,0.3,0.1,0.0,0.3
Li Jian,0.4,0.9,0.4,0.4,0.0
Li Hao,0.7,0.5,0.9,0.3,0.3
Li Mei,0.9,0.4,0.0,0.9,0.2
Li Li,0.3,0.6,0.0,0.3,0.4
Li Xia,0.1,0.4,0.8,0.0,0.2
Zhang Wei,0.9,0.9,0.3,0.3,0.2
Zhang Jian,0.3,0.5,0.0,0.4,0.3
Zhang Hao,0.8,0.0,0.1,0.6,0.4
Zhang Mei,0.8,0.6,0.0,0.9,0.2
Zhang Li,0.2,0.5,0.9,0.0,0.3
Zhang Xia,0.2,0.9,0.3,0.2,0.2
Liu Mei,0.9,0.8,0.8,0.5,0.3
Liu Li,0.9,0.4,0.5,0.1,0.3
Liu Xia,0.5,0.6,1.0,0.2,0.0
Liu Hao,0.6,0.6,0.0,0.0,0.3
Chen Wei,0.1,0.4,0.4,0.8,0.2
Chen Jian,0.8,0.7,0.3,0.0,0.3
Chen Hao,1.0,0.7,0.0,0.0,0.1
Chen Mei,0.9,0.4,0.6,0.3,0.4
Chen Li,0.6,0.6,0.7,0.8,0.1
Chen Xia,0.2,0.5,0.5,0.6,0.2
Liu Jian,0.8,0.7,0.0,0.3,0.0
Liu Wei,0.3,0.3,0.2,0.6,0.3
Yang Wei,1.0,0.7,0.8,0.8,0.3
Yang Jian,0.9,1.0,0.0,0.3,0.3
Yang Hao,0.3,0.8,0.4,0.2,0.1
Yang Mei,0.6,0.8,0.4,0.8,0.4
Yang Li,0.0,0.7,0.9,0.5,0.1
Yang Xia,0.8,0.6,0.2,0.2,0.3
