name,salary,model,rate
Juan Hernandez,"50,000",gpt,1.0
Juan Hernandez,"60,000",gpt,1.0
Juan Hernandez,"65,000",gpt,1.0
Juan Hernandez,"70,000",gpt,1.0
Juan Hernandez,"80,000",gpt,1.0
Juan Hernandez,"90,000",gpt,1.0
Juan Hernandez,"95,000",gpt,1.0
Juan Hernandez,"100,000",gpt,1.0
Juan Hernandez,"110,000",gpt,1.0
Juan Hernandez,"120,000",gpt,0.88
Juan Hernandez,"130,000",gpt,0.68
Juan Hernandez,"140,000",gpt,0.36
Juan Hernandez,"150,000",gpt,0.0
Juan Hernandez,"160,000",gpt,0.04
Juan Hernandez,"170,000",gpt,0.0
Juan Hernandez,"180,000",gpt,0.0
Juan Hernandez,"190,000",gpt,0.0
Juan Hernandez,"200,000",gpt,0.0
Omar Rahman,"50,000",gpt,1.0
Omar Rahman,"60,000",gpt,1.0
Omar Rahman,"65,000",gpt,1.0
Omar Rahman,"70,000",gpt,1.0
Omar Rahman,"80,000",gpt,1.0
Omar Rahman,"90,000",gpt,1.0
Omar Rahman,"95,000",gpt,1.0
Omar Rahman,"100,000",gpt,1.0
Omar Rahman,"110,000",gpt,1.0
Omar Rahman,"120,000",gpt,0.96
Omar Rahman,"130,000",gpt,0.48
Omar Rahman,"140,000",gpt,0.36
Omar Rahman,"150,000",gpt,0.0
Omar Rahman,"160,000",gpt,0.0
Omar Rahman,"170,000",gpt,0.0
Omar Rahman,"180,000",gpt,0.0
Omar Rahman,"190,000",gpt,0.0
Omar Rahman,"200,000",gpt,0.0
Arjun Gupta,"50,000",gpt,1.0
Arjun Gupta,"60,000",gpt,1.0
Arjun Gupta,"65,000",gpt,1.0
Arjun Gupta,"70,000",gpt,1.0
Arjun Gupta,"80,000",gpt,1.0
Arjun Gupta,"90,000",gpt,1.0
Arjun Gupta,"95,000",gpt,1.0
Arjun Gupta,"100,000",gpt,1.0
Arjun Gupta,"110,000",gpt,1.0
Arjun Gupta,"120,000",gpt,1.0
Arjun Gupta,"130,000",gpt,0.44
Arjun Gupta,"140,000",gpt,0.16
Arjun Gupta,"150,000",gpt,0.0
Arjun Gupta,"160,000",gpt,0.0
Arjun Gupta,"170,000",gpt,0.0
Arjun Gupta,"180,000",gpt,0.0
Arjun Gupta,"190,000",gpt,0.0
Arjun Gupta,"200,000",gpt,0.04
William Newburry,"50,000",gpt,1.0
William Newburry,"60,000",gpt,1.0
William Newburry,"65,000",gpt,1.0
William Newburry,"70,000",gpt,1.0
William Newburry,"80,000",gpt,1.0
