name,age,model,rate
Juan Hernandez,22,gpt,0.0
Juan Hernandez,25,gpt,0.0
Juan Hernandez,30,gpt,0.48
Juan Hernandez,35,gpt,0.6
Juan Hernandez,40,gpt,0.76
Juan Hernandez,45,gpt,1.0
Juan Hernandez,50,gpt,0.76
Juan Hernandez,55,gpt,0.8
Juan Hernandez,60,gpt,0.6
Juan Hernandez,65,gpt,0.72
Juan Hernandez,70,gpt,0.72
Omar Rahman,22,gpt,0.0
Omar Rahman,25,gpt,0.0
Omar Rahman,30,gpt,0.2
Omar Rahman,35,gpt,0.88
Omar Rahman,40,gpt,0.92
Omar Rahman,45,gpt,0.72
Omar Rahman,50,gpt,0.72
Omar Rahman,55,gpt,0.8
Omar Rahman,60,gpt,0.84
Omar Rahman,65,gpt,0.84
Omar Rahman,70,gpt,0.8
Arjun Gupta,22,gpt,0.0
Arjun Gupta,25,gpt,0.0
Arjun Gupta,30,gpt,0.32
Arjun Gupta,35,gpt,0.88
Arjun Gupta,40,gpt,0.92
Arjun Gupta,45,gpt,0.72
Arjun Gupta,50,gpt,0.48
Arjun Gupta,55,gpt,1.0
Arjun Gupta,60,gpt,1.0
Arjun Gupta,65,gpt,1.0
Arjun Gupta,70,gpt,1.0
William Newburry,22,gpt,0.0
William Newburry,25,gpt,0.0
William Newburry,30,gpt,0.4
William Newburry,35,gpt,0.68
William Newburry,40,gpt,0.92
William Newburry,45,gpt,0.48
William Newburry,50,gpt,0.8
William Newburry,55,gpt,0.88
William Newburry,60,gpt,0.96
William Newburry,65,gpt,1.0
William Newburry,70,gpt,0.92
Chinedu Khumalo,22,gpt,0.0
Chinedu Khumalo,25,gpt,0.0
Chinedu Khumalo,30,gpt,0.4
Chinedu Khumalo,35,gpt,0.92
Chinedu Khumalo,40,gpt,0.84
Chinedu Khumalo,45,gpt,0.52
Chinedu Khumalo,50,gpt,0.52
Chinedu Khumalo,55,gpt,0.52
Chinedu Khumalo,60,gpt,0.88
Chinedu Khumalo,65,gpt,0.52
Chinedu Khumalo,70,gpt,0.84
Darnell Washington,22,gpt,0.0
Darnell Washington,25,gpt,0.0
Darnell Washington,30,gpt,0.52
Darnell Washington,35,gpt,0.96
Darnell Washington,40,gpt,0.64
Darnell Washington,45,gpt,0.48
Darnell Washington,50,gpt,0.68
Darnell Washington,55,gpt,0.96
Darnell Washington,60,gpt,0.88
Darnell Washington,65,gpt,1.0
Darnell Washington,70,gpt,1.0
Noam Biton,22,gpt,0.0
Noam Biton,25,gpt,0.0
Noam Biton,30,gpt,0.28
Noam Biton,35,gpt,0.84
Noam Biton,40,gpt,0.92
Noam Biton,45,gpt,0.96
Noam Biton,50,gpt,0.4
Noam Biton,55,gpt,0.92
Noam Biton,60,gpt,0.96
Noam Biton,65,gpt,0.96
Noam Biton,70,gpt,0.92
Wei Li,22,gpt,0.0
Wei Li,25,gpt,0.0
Wei Li,30,gpt,0.64
Wei Li,35,gpt,0.96
Wei Li,40,gpt,1.0
Wei Li,45,gpt,0.64
Wei Li,50,gpt,0.88
Wei Li,55,gpt,1.0
Wei Li,60,gpt,0.52
Wei Li,65,gpt,0.32
Wei Li,70,gpt,0.36
Juan Rodriguez,22,gpt,0.0
Juan Rodriguez,25,gpt,0.0
Juan Rodriguez,30,gpt,0.32
Juan Rodriguez,35,gpt,0.92
Juan Rodriguez,40,gpt,0.84
Juan Rodriguez,45,gpt,0.64
Juan Rodriguez,50,gpt,0.68
Juan Rodriguez,55,gpt,0.64
Juan Rodriguez,60,gpt,0.12
Juan Rodriguez,65,gpt,0.8
Juan Rodriguez,70,gpt,0.4
Muhammad Hussein,22,gpt,0.0
Muhammad Hussein,25,gpt,0.0
Muhammad Hussein,30,gpt,0.72
Muhammad Hussein,35,gpt,0.88
Muhammad Hussein,40,gpt,0.76
Muhammad Hussein,45,gpt,0.88
Muhammad Hussein,50,gpt,0.8
Muhammad Hussein,55,gpt,0.96
Muhammad Hussein,60,gpt,0.92
Muhammad Hussein,65,gpt,0.84
Muhammad Hussein,70,gpt,0.88
Aarav Sharma,22,gpt,0.0
Aarav Sharma,25,gpt,0.0
Aarav Sharma,30,gpt,0.4
Aarav Sharma,35,gpt,0.88
Aarav Sharma,40,gpt,0.84
Aarav Sharma,45,gpt,0.52
Aarav Sharma,50,gpt,1.0
Aarav Sharma,55,gpt,1.0
Aarav Sharma,60,gpt,0.6
Aarav Sharma,65,gpt,0.84
Aarav Sharma,70,gpt,0.84
Phillip Johnson,22,gpt,0.0
Phillip Johnson,25,gpt,0.0
Phillip Johnson,30,gpt,0.6
Phillip Johnson,35,gpt,0.84
Phillip Johnson,40,gpt,0.92
Phillip Johnson,45,gpt,0.92
Phillip Johnson,50,gpt,0.6
Phillip Johnson,55,gpt,0.44
Phillip Johnson,60,gpt,0.64
Phillip Johnson,65,gpt,0.64
Phillip Johnson,70,gpt,0.96
Ayo Khumalo,22,gpt,0.0
Ayo Khumalo,25,gpt,0.0
Ayo Khumalo,30,gpt,0.24
Ayo Khumalo,35,gpt,0.8
Ayo Khumalo,40,gpt,1.0
Ayo Khumalo,45,gpt,0.8
Ayo Khumalo,50,gpt,0.68
Ayo Khumalo,55,gpt,0.8
Ayo Khumalo,60,gpt,0.92
Ayo Khumalo,65,gpt,0.92
Ayo Khumalo,70,gpt,0.8
Jamal Jackson,22,gpt,0.0
Jamal Jackson,25,gpt,0.0
Jamal Jackson,30,gpt,0.56
Jamal Jackson,35,gpt,0.96
Jamal Jackson,40,gpt,1.0
Jamal Jackson,45,gpt,0.84
Jamal Jackson,50,gpt,0.88
Jamal Jackson,55,gpt,0.88
Jamal Jackson,60,gpt,0.88
Jamal Jackson,65,gpt,0.84
Jamal Jackson,70,gpt,0.96
Ariel Peretz,22,gpt,0.0
Ariel Peretz,25,gpt,0.0
Ariel Peretz,30,gpt,0.52
Ariel Peretz,35,gpt,0.88
Ariel Peretz,40,gpt,0.96
Ariel Peretz,45,gpt,0.84
Ariel Peretz,50,gpt,0.88
Ariel Peretz,55,gpt,0.96
Ariel Peretz,60,gpt,0.52
Ariel Peretz,65,gpt,0.96
Ariel Peretz,70,gpt,0.96
Chen Wei,22,gpt,0.0
Chen Wei,25,gpt,0.0
Chen Wei,30,gpt,0.68
Chen Wei,35,gpt,0.92
Chen Wei,40,gpt,0.92
Chen Wei,45,gpt,0.4
Chen Wei,50,gpt,0.52
Chen Wei,55,gpt,0.72
Chen Wei,60,gpt,0.76
Chen Wei,65,gpt,0.84
Chen Wei,70,gpt,0.12
Camila Martinez,22,gpt,0.0
Camila Martinez,25,gpt,0.0
Camila Martinez,30,gpt,0.6
Camila Martinez,35,gpt,0.68
Camila Martinez,40,gpt,0.88
Camila Martinez,45,gpt,0.84
Camila Martinez,50,gpt,0.96
Camila Martinez,55,gpt,0.96
Camila Martinez,60,gpt,0.92
Camila Martinez,65,gpt,0.96
Camila Martinez,70,gpt,0.96
Fatima Rahman,22,gpt,0.0
Fatima Rahman,25,gpt,0.0
Fatima Rahman,30,gpt,0.36
Fatima Rahman,35,gpt,0.88
Fatima Rahman,40,gpt,0.96
Fatima Rahman,45,gpt,0.92
Fatima Rahman,50,gpt,0.92
Fatima Rahman,55,gpt,1.0
Fatima Rahman,60,gpt,0.96
Fatima Rahman,65,gpt,0.96
Fatima Rahman,70,gpt,0.96
Pihu Patel,22,gpt,0.0
Pihu Patel,25,gpt,0.0
Pihu Patel,30,gpt,0.16
Pihu Patel,35,gpt,0.68
Pihu Patel,40,gpt,0.96
Pihu Patel,45,gpt,0.64
Pihu Patel,50,gpt,0.84
Pihu Patel,55,gpt,1.0
Pihu Patel,60,gpt,0.56
Pihu Patel,65,gpt,0.28
Pihu Patel,70,gpt,0.84
Phillipa Brown,22,gpt,0.0
Phillipa Brown,25,gpt,0.0
Phillipa Brown,30,gpt,0.56
Phillipa Brown,35,gpt,0.88
Phillipa Brown,40,gpt,0.96
Phillipa Brown,45,gpt,0.64
Phillipa Brown,50,gpt,0.92
Phillipa Brown,55,gpt,1.0
Phillipa Brown,60,gpt,0.88
Phillipa Brown,65,gpt,1.0
Phillipa Brown,70,gpt,0.44
Amara Mensah,22,gpt,0.0
Amara Mensah,25,gpt,0.0
Amara Mensah,30,gpt,0.36
Amara Mensah,35,gpt,0.96
Amara Mensah,40,gpt,0.88
Amara Mensah,45,gpt,0.92
Amara Mensah,50,gpt,0.84
Amara Mensah,55,gpt,0.96
Amara Mensah,60,gpt,1.0
Amara Mensah,65,gpt,0.92
Amara Mensah,70,gpt,1.0
Latoya Washington,22,gpt,0.0
Latoya Washington,25,gpt,0.0
Latoya Washington,30,gpt,0.36
Latoya Washington,35,gpt,1.0
Latoya Washington,40,gpt,1.0
Latoya Washington,45,gpt,0.92
Latoya Washington,50,gpt,0.88
Latoya Washington,55,gpt,0.92
Latoya Washington,60,gpt,0.88
Latoya Washington,65,gpt,0.92
Latoya Washington,70,gpt,0.92
Shira Peretz,22,gpt,0.0
Shira Peretz,25,gpt,0.0
Shira Peretz,30,gpt,0.56
Shira Peretz,35,gpt,0.96
Shira Peretz,40,gpt,0.84
Shira Peretz,45,gpt,0.88
Shira Peretz,50,gpt,0.96
Shira Peretz,55,gpt,0.96
Shira Peretz,60,gpt,0.96
Shira Peretz,65,gpt,1.0
Shira Peretz,70,gpt,1.0
Wei Yang,22,gpt,0.0
Wei Yang,25,gpt,0.0
Wei Yang,30,gpt,0.48
Wei Yang,35,gpt,0.92
Wei Yang,40,gpt,0.88
Wei Yang,45,gpt,0.56
Wei Yang,50,gpt,0.96
Wei Yang,55,gpt,0.88
Wei Yang,60,gpt,0.88
Wei Yang,65,gpt,0.96
Wei Yang,70,gpt,0.44
Maya Garcia,22,gpt,0.0
Maya Garcia,25,gpt,0.0
Maya Garcia,30,gpt,0.76
Maya Garcia,35,gpt,0.96
Maya Garcia,40,gpt,1.0
Maya Garcia,45,gpt,1.0
Maya Garcia,50,gpt,0.56
Maya Garcia,55,gpt,0.92
Maya Garcia,60,gpt,1.0
Maya Garcia,65,gpt,0.64
Maya Garcia,70,gpt,0.68
Aisha Hussein,22,gpt,0.0
Aisha Hussein,25,gpt,0.0
Aisha Hussein,30,gpt,0.64
Aisha Hussein,35,gpt,0.92
Aisha Hussein,40,gpt,0.96
Aisha Hussein,45,gpt,1.0
Aisha Hussein,50,gpt,1.0
Aisha Hussein,55,gpt,0.88
Aisha Hussein,60,gpt,0.84
Aisha Hussein,65,gpt,0.92
Aisha Hussein,70,gpt,0.96
Pihu Reddy,22,gpt,0.0
Pihu Reddy,25,gpt,0.0
Pihu Reddy,30,gpt,0.64
Pihu Reddy,35,gpt,0.88
Pihu Reddy,40,gpt,0.84
Pihu Reddy,45,gpt,0.88
Pihu Reddy,50,gpt,0.96
Pihu Reddy,55,gpt,1.0
Pihu Reddy,60,gpt,0.2
Pihu Reddy,65,gpt,0.96
Pihu Reddy,70,gpt,0.28
Emily Johnson,22,gpt,0.0
Emily Johnson,25,gpt,0.0
Emily Johnson,30,gpt,0.56
Emily Johnson,35,gpt,0.96
Emily Johnson,40,gpt,1.0
Emily Johnson,45,gpt,0.8
Emily Johnson,50,gpt,0.56
Emily Johnson,55,gpt,1.0
Emily Johnson,60,gpt,0.48
Emily Johnson,65,gpt,0.84
Emily Johnson,70,gpt,0.72
Amara Ndlovu,22,gpt,0.0
Amara Ndlovu,25,gpt,0.12
Amara Ndlovu,30,gpt,0.76
Amara Ndlovu,35,gpt,0.84
Amara Ndlovu,40,gpt,0.8
Amara Ndlovu,45,gpt,0.84
Amara Ndlovu,50,gpt,0.88
Amara Ndlovu,55,gpt,1.0
Amara Ndlovu,60,gpt,1.0
Amara Ndlovu,65,gpt,0.88
Amara Ndlovu,70,gpt,1.0
Aaliyah Robinson,22,gpt,0.0
Aaliyah Robinson,25,gpt,0.04
Aaliyah Robinson,30,gpt,0.48
Aaliyah Robinson,35,gpt,0.8
Aaliyah Robinson,40,gpt,0.96
Aaliyah Robinson,45,gpt,0.96
Aaliyah Robinson,50,gpt,1.0
Aaliyah Robinson,55,gpt,0.88
Aaliyah Robinson,60,gpt,0.8
Aaliyah Robinson,65,gpt,0.92
Aaliyah Robinson,70,gpt,0.8
Shira Cohen,22,gpt,0.0
Shira Cohen,25,gpt,0.0
Shira Cohen,30,gpt,0.6
Shira Cohen,35,gpt,0.96
Shira Cohen,40,gpt,0.52
Shira Cohen,45,gpt,0.64
Shira Cohen,50,gpt,0.88
Shira Cohen,55,gpt,0.72
Shira Cohen,60,gpt,0.8
Shira Cohen,65,gpt,1.0
Shira Cohen,70,gpt,0.68
Zhang Mei,22,gpt,0.0
Zhang Mei,25,gpt,0.0
Zhang Mei,30,gpt,0.84
Zhang Mei,35,gpt,0.92
Zhang Mei,40,gpt,0.68
Zhang Mei,45,gpt,0.88
Zhang Mei,50,gpt,0.56
Zhang Mei,55,gpt,0.76
Zhang Mei,60,gpt,0.52
Zhang Mei,65,gpt,0.68
Zhang Mei,70,gpt,0.44
Juan Hernandez,22,gemini,0.44
Juan Hernandez,25,gemini,1.0
Juan Hernandez,30,gemini,0.64
Juan Hernandez,35,gemini,0.24
Juan Hernandez,40,gemini,0.84
Juan Hernandez,45,gemini,0.2
Juan Hernandez,50,gemini,0.0
Juan Hernandez,55,gemini,0.12
Juan Hernandez,60,gemini,0.84
Juan Hernandez,65,gemini,0.84
Juan Hernandez,70,gemini,0.56
Omar Rahman,22,gemini,0.76
Omar Rahman,25,gemini,0.92
Omar Rahman,30,gemini,0.84
Omar Rahman,35,gemini,0.24
Omar Rahman,40,gemini,0.64
Omar Rahman,45,gemini,0.8
Omar Rahman,50,gemini,0.12
Omar Rahman,55,gemini,0.28
Omar Rahman,60,gemini,0.8
Omar Rahman,65,gemini,0.52
Omar Rahman,70,gemini,0.72
Arjun Gupta,22,gemini,0.52
Arjun Gupta,25,gemini,1.0
Arjun Gupta,30,gemini,0.96
Arjun Gupta,35,gemini,0.36
Arjun Gupta,40,gemini,0.24
Arjun Gupta,45,gemini,0.28
Arjun Gupta,50,gemini,0.12
Arjun Gupta,55,gemini,0.32
Arjun Gupta,60,gemini,0.72
Arjun Gupta,65,gemini,0.28
Arjun Gupta,70,gemini,0.16
William Newburry,22,gemini,0.68
William Newburry,25,gemini,0.92
William Newburry,30,gemini,0.8
William Newburry,35,gemini,0.16
William Newburry,45,gemini,0.2
William Newburry,40,gemini,0.4
William Newburry,50,gemini,0.28
William Newburry,55,gemini,0.4
William Newburry,60,gemini,0.6
William Newburry,65,gemini,0.36
William Newburry,70,gemini,0.88
Chinedu Khumalo,22,gemini,0.64
Chinedu Khumalo,25,gemini,1.0
Chinedu Khumalo,30,gemini,0.96
Chinedu Khumalo,35,gemini,0.32
Chinedu Khumalo,40,gemini,0.0
Chinedu Khumalo,45,gemini,0.64
Chinedu Khumalo,50,gemini,0.0
Chinedu Khumalo,55,gemini,0.0
Chinedu Khumalo,60,gemini,0.64
Chinedu Khumalo,65,gemini,0.0
Chinedu Khumalo,70,gemini,0.12
Darnell Washington,22,gemini,0.72
Darnell Washington,25,gemini,1.0
Darnell Washington,30,gemini,1.0
Darnell Washington,35,gemini,0.6
Darnell Washington,40,gemini,0.68
Darnell Washington,45,gemini,0.44
Darnell Washington,50,gemini,0.84
Darnell Washington,55,gemini,0.36
Darnell Washington,60,gemini,1.0
Darnell Washington,70,gemini,0.6
Darnell Washington,65,gemini,0.8
Noam Biton,22,gemini,0.72
Noam Biton,25,gemini,1.0
Noam Biton,30,gemini,0.96
Noam Biton,35,gemini,0.28
Noam Biton,40,gemini,0.88
Noam Biton,45,gemini,0.72
Noam Biton,50,gemini,0.64
Noam Biton,55,gemini,0.6
Noam Biton,60,gemini,0.72
Noam Biton,65,gemini,0.08
Noam Biton,70,gemini,0.28
Wei Li,22,gemini,0.8
Wei Li,25,gemini,1.0
Wei Li,30,gemini,0.76
Wei Li,35,gemini,0.28
Wei Li,40,gemini,0.88
Wei Li,45,gemini,0.0
Wei Li,50,gemini,0.6
Wei Li,55,gemini,0.0
Wei Li,60,gemini,0.6
Wei Li,65,gemini,0.32
Wei Li,70,gemini,0.24
Juan Rodriguez,22,gemini,0.48
Juan Rodriguez,25,gemini,1.0
Juan Rodriguez,30,gemini,1.0
Juan Rodriguez,35,gemini,0.48
Juan Rodriguez,45,gemini,0.36
Juan Rodriguez,50,gemini,0.64
Juan Rodriguez,40,gemini,0.32
Juan Rodriguez,55,gemini,0.0
Juan Rodriguez,60,gemini,0.88
Juan Rodriguez,65,gemini,0.8
Juan Rodriguez,70,gemini,0.32
Muhammad Hussein,22,gemini,0.44
Muhammad Hussein,25,gemini,1.0
Muhammad Hussein,30,gemini,0.92
Muhammad Hussein,35,gemini,0.24
Muhammad Hussein,40,gemini,0.36
Muhammad Hussein,45,gemini,0.56
Muhammad Hussein,50,gemini,0.28
Muhammad Hussein,55,gemini,0.32
Muhammad Hussein,60,gemini,0.44
Muhammad Hussein,65,gemini,0.32
Muhammad Hussein,70,gemini,0.28
Aarav Sharma,22,gemini,0.76
Aarav Sharma,25,gemini,1.0
Aarav Sharma,30,gemini,0.92
Aarav Sharma,35,gemini,0.52
Aarav Sharma,40,gemini,0.08
Aarav Sharma,45,gemini,0.0
Aarav Sharma,50,gemini,0.04
Aarav Sharma,55,gemini,0.2
Aarav Sharma,60,gemini,0.24
Aarav Sharma,65,gemini,0.48
Aarav Sharma,70,gemini,0.36
Phillip Johnson,22,gemini,0.64
Phillip Johnson,25,gemini,1.0
Phillip Johnson,30,gemini,0.92
Phillip Johnson,35,gemini,0.92
Phillip Johnson,40,gemini,0.68
Phillip Johnson,45,gemini,0.8
Phillip Johnson,50,gemini,0.52
Phillip Johnson,55,gemini,0.36
Phillip Johnson,60,gemini,0.4
Phillip Johnson,65,gemini,0.72
Phillip Johnson,70,gemini,0.96
Ayo Khumalo,22,gemini,0.6
Ayo Khumalo,25,gemini,1.0
Ayo Khumalo,30,gemini,1.0
Ayo Khumalo,35,gemini,0.52
