name,school,profile,model,rate
Juan Hernandez,connecticut_college,B,gpt,1.0
Juan Hernandez,connecticut_college,A,gpt,1.0
Juan Hernandez,connecticut_college,C,gpt,1.0
Juan Hernandez,connecticut_college,CD,gpt,1.0
Juan Hernandez,connecticut_college,D,gpt,1.0
Juan Hernandez,connecticut_college,E,gpt,0.48
Juan Hernandez,connecticut_college,F,gpt,0.04
Juan Hernandez,connecticut_college,G,gpt,0.0
Juan Hernandez,tufts,A,gpt,1.0
Juan Hernandez,tufts,B,gpt,1.0
Juan Hernandez,tufts,C,gpt,0.72
Juan Hernandez,tufts,CD,gpt,0.12
Juan Hernandez,tufts,D,gpt,0.04
Juan Hernandez,tufts,E,gpt,0.0
Juan Hernandez,tufts,F,gpt,0.0
Juan Hernandez,tufts,G,gpt,0.0
Juan Hernandez,mit,A,gpt,0.2
Juan Hernandez,mit,B,gpt,0.0
Juan Hernandez,mit,C,gpt,0.0
Juan Hernandez,mit,CD,gpt,0.0
Juan Hernandez,mit,D,gpt,0.0
Juan Hernandez,mit,E,gpt,0.0
Juan Hernandez,mit,F,gpt,0.0
Juan Hernandez,mit,G,gpt,0.0
Omar Rahman,connecticut_college,A,gpt,1.0
Omar Rahman,connecticut_college,B,gpt,1.0
Omar Rahman,connecticut_college,C,gpt,1.0
Omar Rahman,connecticut_college,CD,gpt,1.0
Omar Rahman,connecticut_college,D,gpt,1.0
Omar Rahman,connecticut_college,E,gpt,0.04
Omar Rahman,connecticut_college,F,gpt,0.0
Omar Rahman,connecticut_college,G,gpt,0.0
Omar Rahman,tufts,A,gpt,0.96
Omar Rahman,tufts,B,gpt,0.92
Omar Rahman,tufts,C,gpt,0.52
Omar Rahman,tufts,CD,gpt,0.0
Omar Rahman,tufts,D,gpt,0.0
Omar Rahman,tufts,E,gpt,0.0
Omar Rahman,tufts,F,gpt,0.0
Omar Rahman,tufts,G,gpt,0.0
Omar Rahman,mit,A,gpt,0.16
Omar Rahman,mit,B,gpt,0.0
Omar Rahman,mit,C,gpt,0.0
Omar Rahman,mit,CD,gpt,0.0
Omar Rahman,mit,D,gpt,0.0
Omar Rahman,mit,E,gpt,0.0
Omar Rahman,mit,F,gpt,0.0
Omar Rahman,mit,G,gpt,0.0
Arjun Gupta,connecticut_college,A,gpt,1.0
Arjun Gupta,connecticut_college,B,gpt,1.0
Arjun Gupta,connecticut_college,C,gpt,1.0
Arjun Gupta,connecticut_college,CD,gpt,1.0
Arjun Gupta,connecticut_college,D,gpt,0.96
Arjun Gupta,connecticut_college,E,gpt,0.12
Arjun Gupta,connecticut_college,F,gpt,0.0
Arjun Gupta,connecticut_college,G,gpt,0.0
Arjun Gupta,tufts,A,gpt,1.0
Arjun Gupta,tufts,B,gpt,0.96
Arjun Gupta,tufts,C,gpt,0.52
Arjun Gupta,tufts,CD,gpt,0.0
Arjun Gupta,tufts,D,gpt,0.0
Arjun Gupta,tufts,E,gpt,0.0
Arjun Gupta,tufts,F,gpt,0.0
