model,salary,rate
gpt,"50,000",1.0
gpt,"60,000",1.0
gpt,"65,000",1.0
gpt,"70,000",1.0
gpt,"80,000",1.0
gpt,"90,000",1.0
gpt,"95,000",1.0
gpt,"100,000",1.0
gpt,"110,000",1.0
gpt,"120,000",1.0
gpt,"130,000",1.0
gpt,"140,000",1.0
gpt,"150,000",1.0
gpt,"160,000",1.0
gpt,"170,000",1.0
gpt,"180,000",0.9466666666666667
gpt,"190,000",0.76
gpt,"200,000",0.8
gemini,"50,000",0.0
gemini,"60,000",0.0
gemini,"65,000",0.0
gemini,"70,000",0.0
gemini,"80,000",0.10666666666666667
gemini,"90,000",0.5466666666666666
gemini,"95,000",0.8933333333333333
gemini,"100,000",1.0
gemini,"110,000",1.0
gemini,"130,000",1.0
gemini,"140,000",1.0
gemini,"150,000",1.0
gemini,"120,000",1.0
gemini,"160,000",1.0
gemini,"170,000",1.0
gemini,"180,000",1.0
gemini,"190,000",1.0
gemini,"200,000",1.0
claude,"50,000",0.0
claude,"60,000",0.0
claude,"65,000",0.0
claude,"70,000",0.0
claude,"80,000",0.02666666666666667
claude,"90,000",0.96
claude,"95,000",1.0
claude,"100,000",1.0
claude,"110,000",1.0
claude,"120,000",1.0
claude,"130,000",1.0
claude,"140,000",0.9066666666666666
claude,"150,000",0.21333333333333335
claude,"160,000",0.0
claude,"170,000",0.0
claude,"180,000",0.0
claude,"190,000",0.0
claude,"200,000",0.0
deepseek,"50,000",0.0
grok,"50,000",0.13333333333333333
grok,"60,000",0.41333333333333333
deepseek,"60,000",0.0
grok,"65,000",0.4666666666666667
deepseek,"65,000",0.0
grok,"70,000",0.7066666666666667
deepseek,"70,000",0.0
grok,"80,000",0.84
deepseek,"80,000",0.0
grok,"90,000",0.9066666666666666
deepseek,"90,000",0.0
grok,"95,000",0.9466666666666667
deepseek,"95,000",0.06666666666666667
grok,"100,000",0.9333333333333333
deepseek,"100,000",0.02666666666666667
grok,"110,000",0.9333333333333333
deepseek,"110,000",0.12
grok,"120,000",0.96
deepseek,"120,000",0.17333333333333334
grok,"130,000",0.9733333333333334
deepseek,"130,000",0.09333333333333334
grok,"140,000",0.9866666666666667
deepseek,"140,000",0.04
deepseek,"150,000",0.17333333333333334
grok,"150,000",0.9733333333333334
deepseek,"160,000",0.05333333333333334
grok,"160,000",0.9866666666666667
grok,"170,000",1.0
deepseek,"170,000",0.22666666666666666
grok,"180,000",1.0
deepseek,"180,000",0.25333333333333335
deepseek,"190,000",0.2
grok,"190,000",0.9466666666666667
grok,"200,000",0.9866666666666667
deepseek,"200,000",0.0
