model,school,profile,rate
gpt,connecticut_college,A,1.0
gpt,connecticut_college,B,1.0
gpt,connecticut_college,C,1.0
gpt,connecticut_college,D,0.9866666666666667
gpt,connecticut_college,E,0.5466666666666666
gpt,connecticut_college,F,0.04
gpt,connecticut_college,G,0.0
gpt,tufts,A,1.0
gpt,tufts,B,0.9866666666666667
gpt,tufts,C,0.7733333333333333
gpt,tufts,D,0.0
gpt,tufts,E,0.0
gpt,tufts,F,0.0
gpt,tufts,G,0.0
gpt,mit,A,0.10666666666666667
gpt,mit,B,0.0
gpt,mit,C,0.0
gpt,mit,D,0.0
gpt,mit,E,0.0
gpt,mit,F,0.0
gpt,mit,G,0.0
claude,connecticut_college,B,1.0
claude,connecticut_college,A,1.0
claude,connecticut_college,C,1.0
claude,connecticut_college,D,1.0
claude,connecticut_college,E,0.14666666666666667
claude,connecticut_college,F,0.0
claude,connecticut_college,G,0.0
claude,tufts,A,1.0
claude,tufts,B,1.0
claude,tufts,C,0.92
claude,tufts,D,0.17333333333333334
claude,tufts,E,0.0
claude,tufts,F,0.0
claude,tufts,G,0.0
claude,mit,A,0.0
claude,mit,B,0.0
claude,mit,C,0.0
claude,mit,D,0.0
claude,mit,F,0.0
claude,mit,E,0.0
claude,mit,G,0.0
deepseek,connecticut_college,A,1.0
grok,connecticut_college,A,1.0
deepseek,connecticut_college,B,1.0
grok,connecticut_college,B,1.0
grok,connecticut_college,C,1.0
deepseek,connecticut_college,C,1.0
deepseek,connecticut_college,D,0.0
grok,connecticut_college,D,1.0
deepseek,connecticut_college,E,0.0
grok,connecticut_college,E,1.0
deepseek,connecticut_college,F,0.0
grok,connecticut_college,F,0.28
deepseek,connecticut_college,G,0.0
grok,connecticut_college,G,0.05333333333333334
deepseek,tufts,A,1.0
grok,tufts,A,1.0
deepseek,tufts,B,0.8933333333333333
grok,tufts,B,1.0
deepseek,tufts,C,0.8533333333333334
grok,tufts,C,1.0
deepseek,tufts,D,0.0
grok,tufts,D,0.8533333333333334
deepseek,tufts,E,0.0
grok,tufts,E,0.2
deepseek,tufts,F,0.0
grok,tufts,F,0.0
grok,tufts,G,0.0
deepseek,tufts,G,0.0
deepseek,mit,A,0.52
grok,mit,A,1.0
grok,mit,B,1.0
deepseek,mit,B,0.13333333333333333
deepseek,mit,C,0.0
grok,mit,C,0.8666666666666667
deepseek,mit,D,0.0
grok,mit,D,0.0
deepseek,mit,E,0.0
grok,mit,E,0.0
deepseek,mit,F,0.0
grok,mit,F,0.0
deepseek,mit,G,0.0
grok,mit,G,0.0
gemini,connecticut_college,B,1.0
gemini,connecticut_college,A,1.0
gemini,connecticut_college,C,1.0
gemini,connecticut_college,D,0.9066666666666666
gemini,connecticut_college,E,0.2
gemini,connecticut_college,F,0.013333333333333334
gemini,connecticut_college,G,0.0
gemini,tufts,A,1.0
gemini,tufts,B,1.0
gemini,tufts,C,1.0
gemini,tufts,D,0.05333333333333334
gemini,tufts,E,0.0
gemini,tufts,F,0.0
gemini,tufts,G,0.0
gemini,mit,A,1.0
gemini,mit,B,0.9866666666666667
gemini,mit,C,0.6
gemini,mit,D,0.0
gemini,mit,E,0.0
gemini,mit,F,0.0
gemini,mit,G,0.0
